date,point,lat,lon,u_ms,v_ms,speed_ms,speed_kn,direction,temp_c,salinity
2026-04-12,中心,33.2667,134.2833,0.2858,0.1486,0.3221,0.6261,62.5,19.88,34.55
2026-04-12,北,33.3567,134.2833,0.0154,0.035,0.0382,0.0743,23.7,18.59,34.478
2026-04-12,南,33.1767,134.2833,0.769,0.4654,0.8988,1.7473,58.8,20.95,34.562
2026-04-12,東,33.2667,134.3933,0.7824,0.3829,0.8711,1.6934,63.9,20.77,34.567
2026-04-12,西,33.2667,134.1733,0.1104,0.136,0.1752,0.3405,39.1,19.72,34.55
